scheme_id,et_fund_name,et_category,et_fund_house,mf_scheme_code,mf_scheme_name,mf_scheme_category,isin_growth,match_score,match_status,match_tier,score_gap,candidate_count,alt_candidates,review_reason,mapped_mf_scheme_code,map_match_method,already_decided
42348,Axis Multicap Fund,Multi Cap,Axis Mutual Fund,120505.0,Axis Midcap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,93.24,approved,review_app,,1,,duplicate_mf_code,120505.0,manual,False
1328,HSBC Large Cap Fund,Large Cap,HSBC Mutual Fund,119018.0,HDFC Large Cap Fund - Growth Option - Direct Plan,Equity Scheme - Large Cap Fund,,94.47,approved,review_app,,1,,duplicate_mf_code,119018.0,manual,False
32529,Sundaram Multi Cap Fund,Multi Cap,Sundaram Mutual Fund,119581.0,Sundaram Mid Cap Fund Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,95.91,approved,review_app,,1,,duplicate_mf_code,119581.0,manual,False
32026,UTI Flexi Cap Fund,Flexi Cap,UTI Mutual Fund,151379.0,ITI Flexi Cap Fund- Direct Plan- Growth,Equity Scheme - Flexi Cap Fund,,99.44,approved,review_app,,1,,duplicate_mf_code,151379.0,manual,False
43551,ITI Flexi Cap Fund,Flexi Cap,ITI Mutual Fund,151379.0,ITI Flexi Cap Fund- Direct Plan- Growth,Equity Scheme - Flexi Cap Fund,,100.0,auto_ok,name_fuzzy,8.5,881,143793:91.5; 144546:91.5; 151917:90.7,duplicate_mf_code,151379.0,auto,False
44057,UTI Balanced Advantage Fund,Dynamic Asset Allocation,UTI Mutual Fund,147789.0,ITI Balanced Advantage Fund - Direct Plan - Growth Option,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,,100.0,auto_ok,name_fuzzy,0.0,881,151885:100.0; 142038:97.9; 119298:97.6,duplicate_mf_code,147789.0,auto,False
44194,Quantum Small Cap Fund,Small Cap,Quantum Mutual Fund,120828.0,quant Small Cap Fund - Growth Option - Direct Plan,Equity Scheme - Small Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,152107:100.0; 152614:87.1; 147919:85.0,duplicate_mf_code,120828.0,auto,False
44540,Quantum Multi Asset Allocation Fund,Multi Asset Allocation,Quantum Mutual Fund,120821.0,quant Multi Asset Allocation Fund-GROWTH OPTION-Direct Plan,Hybrid Scheme - Multi Asset Allocation,,100.0,auto_ok,name_fuzzy,0.0,881,152474:100.0; 120760:95.9; 148053:94.6,duplicate_mf_code,120821.0,auto,False
44859,ITI Large & Mid Cap Fund,Large & Mid Cap,ITI Mutual Fund,148353.0,ITI Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,5.8,881,148733:94.2; 152821:93.7; 153629:93.4,duplicate_mf_code,148353.0,auto,False
45367,Samco Large Cap Fund,Large Cap,Samco Mutual Fund,153239.0,Samco Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,4.1,881,153534:95.9; 119598:89.2; 119160:87.1,duplicate_mf_code,153239.0,auto,False
45550,Samco Large & Mid Cap Fund,Large & Mid Cap,Samco Mutual Fund,153239.0,Samco Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,153534:100.0; 119202:90.1; 120826:88.3,duplicate_mf_code,153239.0,auto,False
44614,PGIM India Retirement Fund,Large Cap,PGIM India Mutual Fund,149019.0,PGIM India Small Cap Fund - Direct Plan- Growth Option,Equity Scheme - Small Cap Fund,,71.67,review,name_fuzzy,2.4,881,135601:69.3; 138376:69.3; 138312:68.8,review,,,False
42946,Sundaram Flexi Cap Fund,Flexi Cap,Sundaram Mutual Fund,149450.0,Samco Flexi Cap Fund - Direct Plan - Growth Option,Equity Scheme - Flexi Cap Fund,,88.72,review,name_fuzzy,2.8,881,143793:86.0; 144546:86.0; 151917:85.0,review,,,False
41570,Sundaram Large Cap Fund,Large Cap,Sundaram Mutual Fund,153239.0,Samco Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,88.72,review,name_fuzzy,1.1,881,119589:87.6; 119581:86.8; 119160:86.0,review,,,False
32397,Sundaram Aggressive Hybrid Fund,Aggressive Hybrid,Sundaram Mutual Fund,119053.0,Tata Aggressive Hybrid Fund -Direct Plan- Growth Option,Hybrid Scheme - Aggressive Hybrid Fund,,91.21,review,name_fuzzy,0.0,881,143163:91.2; 120484:90.7; 120819:89.7,review,,,False
45869,Samco Small Cap Fund,Small Cap,Samco Mutual Fund,152614.0,JM Small Cap Fund (Direct) - Growth Option,Equity Scheme - Small Cap Fund,,91.49,review,name_fuzzy,2.3,881,125497:89.2; 130503:87.1; 152107:86.0,review,,,False
45843,The Wealth Company Arbitrage Fund,Arbitrage,The Wealth Company Mutual Fund,153891.0,THE WEALTH COMPANY ARBITRAGE FUND DIRECT GROWTH,Hybrid Scheme - Arbitrage Fund,,92.5,review,name_fuzzy,11.7,881,154269:80.8; 145724:74.2; 154185:70.2,review,,,False
1960,UTI Mid Cap Fund,Mid Cap,UTI Mutual Fund,120665.0,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large & Mid Cap Fund,,94.21,review,name_fuzzy,1.0,881,120841:93.2; 153515:93.2; 119807:92.5,review,,,False
26816,HSBC Arbitrage Fund,Arbitrage,HSBC Mutual Fund,118931.0,HDFC ARBITRAGE FUND - Growth Option - Direct Plan,Hybrid Scheme - Arbitrage Fund,,94.47,review,name_fuzzy,0.0,881,129052:94.5; 153090:92.2; 120482:88.3,review,,,False
1898,HSBC Flexi Cap Fund,Flexi Cap,HSBC Mutual Fund,118955.0,HDFC Flexi Cap Fund - Growth Option - Direct Plan,Equity Scheme - Flexi Cap Fund,,94.47,review,name_fuzzy,2.3,881,149450:92.2; 152135:90.0; 151917:88.3,review,,,False
