fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev
Parag Parikh Arbitrage Fund,Arbitrage,PPFAS Mutual Fund,44196,https://www.etmoney.com/mutual-funds/parag-parikh-arbitrage-fund/portfolio-details/44196,ACTIVE,NIFTY 50 Arbitrage TRI,2370,1.66,2023-10-23,,,,6.62,5.85,,,,0.0,-1.0,0.0,0.0,0.0,0.0
Quant Arbitrage Fund,Arbitrage,Quant Mutual Fund,45423,https://www.etmoney.com/mutual-funds/quant-arbitrage-fund/portfolio-details/45423,ACTIVE,NIFTY 50 Arbitrage TRI,351,1.98,2025-03-18,,,,6.67,6.72,,,,0.0,0.0,0.0,0.0,0.0,0.0
SBI Arbitrage Opportunities Fund,Arbitrage,SBI Mutual Fund,3494,https://www.etmoney.com/mutual-funds/sbi-arbitrage-opportunities-fund/portfolio-details/3494,ACTIVE,NIFTY 50 Arbitrage TRI,42847,2.32,2006-09-15,,,,6.7,5.95,6.94,6.19,,0.0,9.0,2.221,0.0,0.47,0.3847
Samco Arbitrage Fund,Arbitrage,Samco Mutual Fund,45081,https://www.etmoney.com/mutual-funds/samco-arbitrage-fund/portfolio-details/45081,ACTIVE,NIFTY 50 Arbitrage TRI,33,1.8,2024-11-11,,,,4.17,3.81,,,,0.0,-1.0,,,,
Sundaram Arbitrage Fund,Arbitrage,Sundaram Mutual Fund,31780,https://www.etmoney.com/mutual-funds/sundaram-arbitrage-fund/portfolio-details/31780,ACTIVE,NIFTY 50 Arbitrage TRI,442,1.0,2016-03-28,,,,4.43,5.77,6.58,5.55,,0.0,-1.0,1.47,0.0,0.3,0.3372
Tata Arbitrage Fund,Arbitrage,Tata Mutual Fund,38979,https://www.etmoney.com/mutual-funds/tata-arbitrage-fund/portfolio-details/38979,ACTIVE,NIFTY 50 Arbitrage TRI,21824,1.43,2018-12-10,,,,5.71,5.8,6.79,5.89,,0.0,-1.0,,,,
The Wealth Company Arbitrage Fund,Arbitrage,The Wealth Company Mutual Fund,45843,https://www.etmoney.com/mutual-funds/the-wealth-company-arbitrage-fund/portfolio-details/45843,ACTIVE,NIFTY 50 Arbitrage TRI,154,1.02,2025-09-24,,,,3.33,,,,,,,0.0,0.0,0.0,0.0
UTI Arbitrage Fund,Arbitrage,UTI Mutual Fund,3271,https://www.etmoney.com/mutual-funds/uti-arbitrage-fund/portfolio-details/3271,ACTIVE,NIFTY 50 Arbitrage TRI,10858,2.38,2006-06-09,,,,6.77,5.88,6.94,6.0,,0.0,-1.0,2.3233,0.0,0.49,0.3692
Union Arbitrage Fund,Arbitrage,Union Mutual Fund,39447,https://www.etmoney.com/mutual-funds/union-arbitrage-fund/portfolio-details/39447,ACTIVE,NIFTY 50 Arbitrage TRI,239,0.99,2019-01-30,,,,5.46,5.55,6.71,5.75,,0.0,-1.0,,,,
WhiteOak Capital Arbitrage Fund,Arbitrage,Whiteoak Capital Mutual Fund,44888,https://www.etmoney.com/mutual-funds/whiteoak-capital-arbitrage-fund/portfolio-details/44888,ACTIVE,NIFTY 50 Arbitrage TRI,1246,4.18,2024-08-28,,,,6.4,6.1,,,,0.0,0.0,0.0,0.0,0.0,0.0
360 ONE Balanced Hybrid Fund,Balanced Hybrid,360 One Mutual Fund,44149,https://www.etmoney.com/mutual-funds/360-one-balanced-hybrid-fund/portfolio-details/44149,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,734,2.35,2023-09-04,,,,9.12,0.75,,,,0.0,-1.0,0.0,0.0,0.0,0.0
WhiteOak Capital Balanced Hybrid Fund,Balanced Hybrid,Whiteoak Capital Mutual Fund,44207,https://www.etmoney.com/mutual-funds/whiteoak-capital-balanced-hybrid-fund/portfolio-details/44207,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,282,2.25,2023-10-05,,,,9.96,0.99,,,,0.0,0.0,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Balanced Advantage Fund,Dynamic Asset Allocation,Aditya Birla Sun Life Mutual Fund,32470,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-balanced-advantage-fund/portfolio-details/32470,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,9182,1.76,2000-03-15,,,,9.79,2.96,11.63,9.8,,0.0,11.0,0.6944,0.0,1.07,8.7481
Axis Balanced Advantage Fund,Dynamic Asset Allocation,Axis Mutual Fund,34956,https://www.etmoney.com/mutual-funds/axis-balanced-advantage-fund/portfolio-details/34956,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,3764,1.93,2017-07-11,,,,8.64,0.24,12.07,10.11,,0.0,-1.0,0.8004,0.0,1.13,8.6717
Bajaj Finserv Balanced Advantage Fund,Dynamic Asset Allocation,Bajaj Finserv Mutual Fund,44255,https://www.etmoney.com/mutual-funds/bajaj-finserv-balanced-advantage-fund/portfolio-details/44255,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,1229,7.07,2023-11-24,,,,4.66,-0.13,,,,0.0,-1.0,,,,
Bandhan Balanced Advantage Fund,Dynamic Asset Allocation,Bandhan Mutual Fund,27860,https://www.etmoney.com/mutual-funds/bandhan-balanced-advantage-fund/portfolio-details/27860,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,2209,2.66,2014-09-17,,,,7.99,2.55,9.55,8.0,,0.0,-1.0,0.5386,0.0,1.02,8.3535
Bank of India Balanced Advantage Fund,Dynamic Asset Allocation,Bank Of India Mutual Fund,24276,https://www.etmoney.com/mutual-funds/bank-of-india-balanced-advantage-fund/portfolio-details/24276,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,153,2.48,2014-02-21,,,,8.01,4.49,10.16,10.18,,0.0,16.0,0.5051,0.0,0.0,9.7373
Baroda BNP Paribas Balanced Advantage Fund,Dynamic Asset Allocation,Baroda BNP Paribas Mutual Fund,38590,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-balanced-advantage-fund/portfolio-details/38590,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,4756,1.9,2018-10-22,,,,13.09,6.08,13.47,11.45,,0.0,8.0,0.6284,0.0,1.45,11.6948
Canara Robeco Balanced Advantage Fund,Dynamic Asset Allocation,Canara Robeco Mutual Fund,44728,https://www.etmoney.com/mutual-funds/canara-robeco-balanced-advantage-fund/portfolio-details/44728,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,1165,2.19,2024-07-12,,,,-0.45,-2.36,,,,0.0,-1.0,,,,
DSP Dynamic Asset Allocation Fund,Dynamic Asset Allocation,DSP Mutual Fund,22958,https://www.etmoney.com/mutual-funds/dsp-dynamic-asset-allocation-fund/portfolio-details/22958,ACTIVE,CRISIL Hybrid 50+50 Moderate Index,3661,1.93,2014-01-17,,,,8.73,2.57,10.69,8.19,,0.0,-1.0,,,,
Edelweiss Balanced Advantage Fund,Dynamic Asset Allocation,Edelweiss Mutual Fund,10269,https://www.etmoney.com/mutual-funds/edelweiss-balanced-advantage-fund/portfolio-details/10269,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,12906,2.08,2009-08-03,,,,10.25,2.58,10.92,9.65,,0.0,-1.0,0.5972,0.0,1.18,9.298
Franklin India Balanced Advantage Fund,Dynamic Asset Allocation,Franklin Templeton Mutual Fund,42897,https://www.etmoney.com/mutual-funds/franklin-india-balanced-advantage-fund/portfolio-details/42897,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,2789,2.14,2022-08-16,,,,9.53,-1.5,10.68,,,0.0,-1.0,,,,
HDFC Balanced Advantage Fund,Dynamic Asset Allocation,HDFC Mutual Fund,32508,https://www.etmoney.com/mutual-funds/hdfc-balanced-advantage-fund/portfolio-details/32508,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,105378,1.34,2000-07-20,,,,16.54,-1.28,14.54,15.15,,0.0,-1.0,0.8459,0.0,1.258,10.7045
HSBC Balanced Advantage Fund,Dynamic Asset Allocation,HSBC Mutual Fund,11662,https://www.etmoney.com/mutual-funds/hsbc-balanced-advantage-fund/portfolio-details/11662,ACTIVE,NIFTY 50 Hybrid Composite Debt 50:50 Index,1506,2.13,2011-01-17,,,,10.1,0.21,9.45,7.91,,0.0,-1.0,,,,
