scheme_id,mf_scheme_code,isin,et_fund_name,match_score,match_method,matched_at,notes
10234,120392,INF205K01LB0,Invesco India Largecap Fund,100.0,auto,2026-05-29T10:42:17.664670+00:00,auto_ok from match report
10250,119526,INF209K01VP1,Aditya Birla Sun Life Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.656874+00:00,auto_ok from match report
10258,120166,INF174K01LS2,,83.1,manual,2026-05-29T09:39:28.186200+00:00,bulk_grid
10265,125497,INF200K01T51,SBI Small Cap Fund,100.0,auto,2026-05-29T10:42:17.674988+00:00,auto_ok from match report
10269,118615,INF754K01BS2,Edelweiss Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.658573+00:00,auto_ok from match report
10271,118624,INF754K01CE0,Edelweiss Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.655509+00:00,auto_ok from match report
10434,120465,INF846K01DP8,Axis Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664045+00:00,auto_ok from match report
10480,120503,INF846K01EW2,Axis ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659583+00:00,auto_ok from match report
10842,118834,INF769K01BI1,Mirae Asset Large & Midcap Fund,100.0,auto,2026-05-29T10:42:17.663625+00:00,auto_ok from match report
10960,118269,INF760K01FR2,Canara Robeco Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664251+00:00,auto_ok from match report
10970,120524,INF846K01EV4,Axis Multi Asset Allocation Fund,100.0,auto,2026-05-29T10:42:17.666509+00:00,auto_ok from match report
11077,118778,INF204K01K15,,79.23,manual,2026-05-29T09:39:28.290262+00:00,bulk_grid
11236,118585,INF204K01XZ7,,79.23,manual,2026-05-29T09:39:28.117149+00:00,bulk_grid
11431,148026,nan,Sundaram Balanced Advantage Fund,100.0,auto,2026-05-29T10:42:17.659304+00:00,auto_ok from match report
11656,120505,INF846K01EH3,Axis Midcap Fund,100.0,auto,2026-05-29T10:42:17.665409+00:00,auto_ok from match report
11660,151122,INF917K01LE4,,89.4,manual,2026-05-29T09:39:28.103615+00:00,bulk_grid
12396,119292,INF582M01633,Union Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.662382+00:00,auto_ok from match report
13091,119307,INF582M01765,Union ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660845+00:00,auto_ok from match report
14514,119333,INF955L01971,Baroda BNP Paribas Banking and Financial Services Fund,100.0,auto,2026-05-29T10:42:17.670799+00:00,auto_ok from match report
14566,120186,INF109K01Z71,ICICI Prudential US Bluechip Equity Fund,100.0,auto,2026-05-29T10:42:17.662537+00:00,auto_ok from match report
17056,120578,INF200K01RV6,SBI Technology Opportunities Fund,100.0,auto,2026-05-29T10:42:17.673570+00:00,auto_ok from match report
19230,122639,INF879O01027,Parag Parikh Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.662118+00:00,auto_ok from match report
21857,125354,INF846K01K35,Axis Small Cap Fund,100.0,auto,2026-05-29T10:42:17.673826+00:00,auto_ok from match report
21889,125307,INF663L01DV3,PGIM India Midcap Fund,100.0,auto,2026-05-29T10:42:17.666143+00:00,auto_ok from match report
22046,125597,INF209K014W1,Aditya Birla Sun Life Banking & Financial Services Fund,100.0,auto,2026-05-29T10:42:17.669728+00:00,auto_ok from match report
22958,126393,INF740K01K81,DSP Dynamic Asset Allocation Fund,100.0,auto,2026-05-29T10:42:17.658523+00:00,auto_ok from match report
23600,127042,INF247L01445,Motilal Oswal Midcap Fund,100.0,auto,2026-05-29T10:42:17.666091+00:00,auto_ok from match report
24276,127850,INF761K01BO6,,89.57,manual,2026-05-29T09:39:28.135289+00:00,bulk_grid
25643,129046,INF247L01502,Motilal Oswal Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661961+00:00,auto_ok from match report
25651,120069,nan,,94.4,manual,2026-05-29T09:39:28.286306+00:00,bulk_grid
26378,129649,INF582M01BU9,Union Small Cap Fund,100.0,auto,2026-05-29T10:42:17.675215+00:00,auto_ok from match report
26662,130206,INF754K01EA4,Edelweiss Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657199+00:00,auto_ok from match report
26816,151138,INF917K01QR5,HSBC Arbitrage Fund,83.08,manual,2026-05-29T10:42:07.168728+00:00,manual_rework_review9
27105,130773,INF846K01PZ1,Axis Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.656930+00:00,auto_ok from match report
27208,130860,INF204KA1SI1,,76.4,manual,2026-05-29T09:39:28.196111+00:00,bulk_grid
27390,138875,INF223J013N7,PGIM India Arbitrage Fund,100.0,auto,2026-05-29T10:42:17.657793+00:00,auto_ok from match report
27860,131355,INF194KA1UH1,,86.54,manual,2026-05-29T09:39:28.133033+00:00,bulk_grid
28004,132756,INF277K01I86,Tata ELSS Fund,100.0,auto,2026-05-29T10:42:17.660741+00:00,auto_ok from match report
28150,133035,INF174K01F00,Kotak Aggressive Hybrid Fund,100.0,auto,2026-05-29T10:42:17.656113+00:00,auto_ok from match report
28670,133386,INF247L01569,Motilal Oswal ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660423+00:00,auto_ok from match report
28768,140353,INF843K01KK1,Edelweiss Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.661368+00:00,auto_ok from match report
28921,133710,INF767K01NE9,,100.0,manual,2026-05-29T10:10:59.634542+00:00,bulk_grid
28968,133859,INF200KA1507,SBI Banking & Financial Services Fund,100.0,auto,2026-05-29T10:42:17.672675+00:00,auto_ok from match report
28978,133839,INF663L01FF1,PGIM India Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.662066+00:00,auto_ok from match report
