fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Samco Mid Cap Fund,Mid Cap,,46065,https://www.etmoney.com/mutual-funds/samco-mid-cap-fund/portfolio-details/46065,NO_HOLDINGS,NIFTY Midcap 150 TRI,66.0,2.47,,0.0,,,,,,,,,,,,,,,
TRUSTMF Mid Cap Fund,Mid Cap,,46139,https://www.etmoney.com/mutual-funds/trustmf-mid-cap-fund/portfolio-details/46139,NO_HOLDINGS,NIFTY Midcap 150 TRI,142.0,6.02,,0.0,,,,,,,,,,,,,,,
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF FoF,Mid Cap Index,Mirae Asset Mutual Fund,44664,https://www.etmoney.com/mutual-funds/mirae-asset-nifty-midsmallcap400-momentum-quality-100-etf-fof/portfolio-details/44664,NO_HOLDINGS,Nifty MidSmallcap400 Momentum Quality 100 TRI,266.0,0.61,2024-05-10,0.0,,,,,,,,,,,,,,,
Aditya Birla Sun Life Aggressive Hybrid Omni FoF,Multi Asset Allocation,Aditya Birla Sun Life Mutual Fund,12251,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-aggressive-hybrid-omni-fof/portfolio-details/12251,NO_HOLDINGS,CRISIL Hybrid 35+65 Aggressive Index,41.0,1.12,2011-04-19,0.0,,,,,,,,,,,,,,,
Aditya Birla Sun Life Conservative Hybrid Active FoF,Multi Asset Allocation,Aditya Birla Sun Life Mutual Fund,12249,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-conservative-hybrid-active-fof/portfolio-details/12249,NO_HOLDINGS,CRISIL Hybrid 85+15 Conservative Index,17.0,0.9,2011-04-19,0.0,,,,,,,,,,,,,,,
Aditya Birla Sun Life Dynamic Asset Allocation Omni FoF,Multi Asset Allocation,Aditya Birla Sun Life Mutual Fund,12253,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-dynamic-asset-allocation-omni-fof/portfolio-details/12253,NO_HOLDINGS,CRISIL Hybrid 50+50 Moderate Index,231.0,1.11,2011-04-19,0.0,,,,,,,,,,,,,,,
Aditya Birla Sun Life Multi - Asset Passive FoF,Multi Asset Allocation,Aditya Birla Sun Life Mutual Fund,43051,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-multi-asset-passive-fof/portfolio-details/43051,NO_HOLDINGS,,30.0,0.61,2022-09-26,0.0,,,,,,,,,,,,,,,
Aditya Birla Sun Life Multi-Asset Omni FoF,Multi Asset Allocation,Aditya Birla Sun Life Mutual Fund,3321,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-multi-asset-omni-fof/portfolio-details/3321,NO_HOLDINGS,,390.0,1.24,2006-07-10,0.0,,,,,,,,,,,,,,,
Axis Multi-Asset Active FoF,Multi Asset Allocation,Axis Mutual Fund,45938,https://www.etmoney.com/mutual-funds/axis-multi-asset-active-fof/portfolio-details/45938,NO_HOLDINGS,,1374.0,1.23,2025-11-21,0.0,,,,,,,,,,,,,,,
Baroda BNP Paribas Multi Asset Active FoF,Multi Asset Allocation,Baroda BNP Paribas Mutual Fund,45526,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-multi-asset-active-fof/portfolio-details/45526,NO_HOLDINGS,,125.0,1.1,2025-05-15,0.0,,,,,,,,,,,,,,,
