mf_scheme_code,nav_date,nav
153055,2026-05-26,9.7788
153070,2026-05-26,10.7
153075,2026-05-26,8.947
153076,2026-05-26,7.9691
153083,2026-05-26,9.04
153090,2026-05-26,10.79
153092,2026-05-26,12.66
153094,2026-05-26,9.64
153109,2026-05-26,9.48
153118,2026-05-26,11.132
153121,2026-05-26,10.43
153124,2026-05-26,10.88
153139,2026-05-26,10.68
153154,2026-05-26,9.8682
153157,2026-05-26,10.618
153184,2026-05-26,11.01
153187,2026-05-26,11.0434
153189,2026-05-26,10.04
153196,2026-05-26,11.788
153201,2026-05-26,11.586
153204,2026-05-26,10.4644
153214,2026-05-26,10.9097
153225,2026-05-26,12.5608
153239,2026-05-26,9.46
153246,2026-05-26,12.3488
153258,2026-05-26,12.9544
153260,2026-05-26,11.1841
153266,2026-05-26,12.4034
153274,2026-05-26,12.3543
153291,2026-05-26,13.34
153303,2026-05-26,12.5004
153309,2026-05-26,11.876
153326,2026-05-26,13.19
153355,2026-05-26,11.436
153364,2026-05-26,12.9736
153376,2026-05-26,10.9475
153426,2026-05-26,10.8353
153447,2026-05-26,10.973
153458,2026-05-26,10.29
153465,2026-05-26,11.08
153484,2026-05-26,12.9422
153515,2026-05-26,10.3061
153534,2026-05-26,9.35
153543,2026-05-26,10.2674
153558,2026-05-26,10.6877
153570,2026-05-26,1058.5694
153604,2026-05-26,10.1924
153612,2026-05-26,10.203
153620,2026-05-26,10.59
153624,2026-05-26,9.53
153629,2026-05-26,10.2771
153644,2026-05-26,10.97
153651,2026-05-26,1055.666
153669,2026-05-26,10.1235
153674,2026-05-26,10.5605
153684,2026-05-26,10.89
153693,2026-05-26,10.6175
153705,2026-05-26,10.5597
153722,2026-05-26,10.022
153728,2026-05-26,10.37
153731,2026-05-26,11.0456
153738,2026-05-26,10.0657
153749,2026-05-26,11.293
153753,2026-05-26,10.625
153758,2026-05-26,10.43
153774,2026-05-26,12.2367
153804,2026-05-26,10.4626
153821,2026-05-26,10.3208
153847,2026-05-26,9.9411
153859,2026-05-26,9.7996
153867,2026-05-26,10.1
153868,2026-05-29,10.5
153872,2026-05-26,10.0898
153883,2026-05-26,1039.4507
153891,2026-05-26,10.3878
153895,2026-05-26,9.6619
153900,2026-05-26,9.65
153912,2026-05-26,10.34
153913,2026-05-26,9.4791
153937,2026-05-26,9.673
153942,2026-05-26,9.566
153948,2026-05-26,9.4945
153970,2026-05-26,9.701
153972,2026-05-26,10.357
153979,2026-05-26,10.2823
153983,2026-05-26,10.915
153987,2026-05-26,10.51
153999,2026-05-26,10.8466
154011,2026-05-26,1032.8882
154020,2026-05-26,9.2
154043,2026-05-26,10.458
