stock_name,fund_count,avg_allocation_percent
SKF INDIA (INDUSTRIAL),14,0.6814285714285714
SEDEMAC MECHATRONICS,14,0.6542857142857142
VINATI ORGANICS,14,0.6371428571428571
WESTLIFE FOODWORLD,14,0.5928571428571429
TEAMLEASE SERVICES,14,0.43642857142857144
VEDANT FASHIONS,14,0.3378571428571429
WAKEFIT INNOVATIONS,14,0.3285714285714286
DCB BANK,13,1.3676923076923078
WOCKHARDT,13,1.2807692307692307
SHAKTI PUMPS (INDIA),13,1.2515384615384615
TECHNO ELECTRIC & ENGINEERING COMPANY,13,1.2484615384615385
DR. AGARWAL'S HEALTH CARE,13,1.2430769230769232
CRISIL,13,1.2123076923076923
LIC HOUSING FINANCE,13,1.2053846153846153
CESC,13,0.9715384615384615
V-GUARD INDUSTRIES,13,0.9261538461538462
UNION BANK OF INDIA,13,0.8892307692307693
AADHAR HOUSING FINANCE,13,0.8761538461538462
ETHOS,13,0.7969230769230768
CLEAN MAX ENVIRO ENERGY SOLUTIONS,13,0.7876923076923077
TITAGARH RAIL SYSTEMS,13,0.7415384615384616
SANOFI CONSUMER HEALTHCARE INDIA,13,0.7007692307692307
ZENSAR TECHNOLOGIES,13,0.6546153846153846
CLEAN SCIENCE AND TECHNOLOGY,13,0.37307692307692303
LLOYDS METALS & ENERGY,12,3.2883333333333336
SHAILY ENGINEERING PLASTICS,12,1.7774999999999999
PTC INDUSTRIES,12,1.6008333333333333
LIFE INSURANCE CORPORATION OF INDIA,12,1.3558333333333332
TEGA INDUSTRIES,12,1.2858333333333334
LUMAX AUTO TECHNOLOGIES,12,1.2808333333333333
WIPRO,12,1.2425
STAR HEALTH AND ALLIED INSURANCE COMPANY,12,1.1425
CMS INFO SYSTEMS,12,1.1183333333333334
EIH,12,1.065
PFIZER,12,1.0341666666666667
FIVE-STAR BUSINESS FINANCE,12,0.9983333333333334
V-MART RETAIL,12,0.96
ZYDUS LIFESCIENCES,12,0.8908333333333333
APOLLO TYRES,12,0.7833333333333333
NUVOCO VISTAS CORPORATION,12,0.7566666666666667
POLY MEDICURE,12,0.7066666666666667
HONEYWELL AUTOMATION INDIA,12,0.6883333333333334
FINE ORGANIC INDUSTRIES,12,0.56
INDIGO PAINTS,12,0.425
BEML,11,1.1236363636363635
IIFL FINANCE,11,1.0318181818181817
E.I.D. - PARRY (INDIA),11,1.002727272727273
BAYER CROPSCIENCE,11,0.9881818181818183
NHPC,11,0.9863636363636363
UTI ASSET MANAGEMENT COMPANY,11,0.9227272727272727
EMCURE PHARMACEUTICALS,11,0.9163636363636364
ELECON ENGINEERING COMPANY,11,0.8918181818181818
SUNDRAM FASTENERS,11,0.8736363636363635
R R KABEL,11,0.870909090909091
DABUR INDIA,11,0.8581818181818182
THE INDIA CEMENTS,11,0.8509090909090908
INDIA SHELTER FINANCE CORPORATION,11,0.7927272727272726
MRF,11,0.7672727272727272
CSB BANK,11,0.7481818181818182
CERA SANITARYWARE,11,0.7227272727272728
INTERNATIONAL GEMOLOGICAL INSTITUTE,11,0.72
GR INFRAPROJECTS,11,0.5854545454545454
GREENPANEL INDUSTRIES,11,0.5681818181818182
MEESHO,11,0.5672727272727273
BIRLA CORPORATION,11,0.5390909090909091
BATA INDIA,11,0.52
ROLEX RINGS,11,0.5045454545454545
PNC INFRATECH,11,0.40090909090909094
KWALITY WALL'S (INDIA),11,0.2072727272727273
ADANI ENTERPRISES,10,3.1239999999999997
KALYAN JEWELLERS INDIA,10,2.857
ANAND RATHI WEALTH,10,1.566
USHA MARTIN,10,1.5210000000000001
ZYDUS WELLNESS,10,1.331
SUN TV NETWORK,10,1.22
ALLIED BLENDERS AND DISTILLERS,10,1.13
AZAD ENGINEERING,10,0.97
CARRARO INDIA,10,0.968
NUVAMA WEALTH MANAGEMENT,10,0.9630000000000001
INVENTURUS KNOWLEDGE SOLUTIONS,10,0.9019999999999999
AAVAS FINANCIERS,10,0.874
MAHINDRA LIFESPACE DEVELOPERS,10,0.866
EUREKA FORBES,10,0.843
SBFC FINANCE,10,0.812
L&T TECHNOLOGY SERVICES,10,0.806
HAPPY FORGINGS,10,0.77
VESUVIUS INDIA,10,0.704
ACC,10,0.697
BHARAT BIJLEE,10,0.6679999999999999
AFCONS INFRASTRUCTURE,10,0.493
INTELLECT DESIGN ARENA,10,0.453
NEOGEN CHEMICALS,10,0.41600000000000004
ADANI ENERGY SOLUTIONS,9,2.1122222222222224
SKY GOLD AND DIAMONDS,9,1.8266666666666669
RUBICON RESEARCH,9,1.738888888888889
THANGAMAYIL JEWELLERY,9,1.5611111111111111
HOUSING & URBAN DEVELOPMENT CORPORATION,9,1.2644444444444443
HINDUSTAN COPPER,9,1.26
MINDA CORPORATION,9,1.218888888888889
